Год	Сальдо прибылей и убытков	В % к соответствующему периоду предыдущего года	Сумма прибыли	Удельный вес прибыльных организаций, %	Сумма убытка	Удельный вес убыточных организаций, %
1995	251	в 2,6р.	288	65,8	37	34,2
1996	125	49,9	239	49,4	114	50,6
1997	174	139,2	309	49,9	135	50,1
1998	-115	-	358	46,8	473	53,2
1999	723	-	885	59,2	162	40,8
2000	1 191	164,6	1 361	60,2	170	39,8
2001	1 141	95,9	1 358	62,1	217	37,9
2002	923	80,9	1 273	56,5	350	43,5
2003	1 456	157,7	1 816	57,0	360	43,0
2004	2 485	170,7	2 778	61,9	293	38,1
2005	3 226	129,8	3 674	63,6	448	36,4
2006	5 722	177,4	6 085	67,5	363	32,5
2007	6 041	105,6	6 412	74,5	371	25,5
2008	3 801	69,1	5 354	71,7	1 553	28,3
2009	4 432	124,1	5 852	68,0	1 420	32,0
2010	6 331	144,1	7 353	70,1	1 022	29,9
2011	7 140	114,2	8 794	70,0	1 654	30,0
2012	7 824	110.8	9 213	70,9	1 389	29,1
2013	6 854	82,7	9 519	69,0	2 665	31,0
2014	4 347	68,2	10 465	67,0	6 118	33,0
2015	7 503	173,6	12 654	67,4	5 151	32,6
2016	12 801	157,0	15 823	70,5	3 022	29,5
2017	9 037	69,5	14 079	68,1	5 042	31,9
2018	12 400	159,6	18 332	66,9	5 932	33,1
2019	16 633	127,7	20 606	67,5	3 973	32,5
2020	13 419	76,3	21 162	67,3	7 743	32,7
2021	33 916	в 2,4р.	38 292	70,8	4 376	29,2
2022	22 314	65,5	32 676	70,7	10 362	29,3
2023	35 379	156,0	42 949	71,9	7 570	28,1
2024	30 157	83,3	43 158	71,5	13 000	28,5
2025*	27 073	96,1	35 969	72,9	8 896	27,1


сформируй sql запрос для создания этой таблицы 
