Год	Коэффициент текущей ликвидности	Коэффициент обеспеченности собственными оборотными средствами	Коэффициент автономии
1995	115,6	14,2	76,5
1996	98,8	-1,0	80,7
1997	95,5	-5,6	73,9
1998	91,2	-17,0	65,5
1999	99,5	-11,9	62,2
2000	102,5	-7,4	59,9
2001	106,1	-7,0	60,9
2002	109,7	-6,6	60,1
2003	116,2	-8,2	57,7
2004	113,1	-10,6	54,4
2005	122,2	-12,5	56,2
2006	123,7	-13,3	57,1
2007	130,7	-10,5	55,9
2008	129,2	-14,1	50,5
2009	129,4	-18,8	51,6
2010	134,3	-14,1	52,4
2011	136,2	-17,8	50,8
2012	128,1	-25,5	48,2
2013	125,3	-30,7	45,3
2014	121,1	-41,2	40,1
2015	126,6	-42,6	39,9
2016	124,7	-42,2	42,5
2017	124,4	-41,8	41,7
2018	126,1	-44,4	40,6
2019	124,0	-41,2	41,4
2021	133,4	-35,1	42,7
2022	135,4	26,2	43,3
2023	150,2	33,4	44,9
2024	129,9	23,0	39,6
2025*	147,1	32,0	49,3

сформируй sql запрос для создания этой таблицы 
