Год	Кредиторская задолженность		из нее:					
	всего	просроченная	задолженность поставщикам и подрядчикам 		задолженность по платежам в бюджет		задолженность в внебюджетные фонды 	
			всего	просроченная	всего	просроченная	всего	просроченная
1995	483	239	266	122	94	57	28	18
1996	941	514	487	246	165	106	136	97
1997	1 288	756	623	345	235	162	205	154
1998	2 297	1 231	1 180	586	320	228	317	246
1999	2 901	1 354	1 523	619	406	275	386	297
2000	3 515	1 571	1 803	712	509	346	418	322
2001	4 231	1 560	2 113	754	535	314	402	311
2002	4 832	1 433	2 407	710	556	273	329	237
2003	5 283	1 306	2 604	652	536	239	291	206
2004	5 944	1 122	2 908	569	560	205	241	158
2005	6 389	956	3 194	516	590	194	196	115
2006	7 697	821	3 949	475	544	133	151	77
2007	10 653	833	5 500	554	686	103	129	52
2008	13 353	994	7 131	716	778	88	124	42
2009	14 882	958	7 432	681	900	82	126	39
2010	17 683	1 006	8 791	721	1 022	82	134	36
2011	20 954	1 208	10 667	884	1 187	68	184	41
2012	23 632	1 188	12 511	911	1 312	71	200	39
2013	27 532	1 470	14 974	1 157	1 458	60	225	40
2014	33 174	1 881	16 745	1 451	1 798	64	271	44
2015	38 925	2 429	18 045	1 621	1 762	68	333	51
2016	42 280	2 656	19 857	1 969	2 076	63	345	55
2017	44 481	2 616	20 654	1 961	2 182	63	345	51
2018	49 229	3 440	23 570	2 386	2 616	59	363	54
2019	52 615	3 898	24 694	2 645	2 737	63	383	43
2020	64 073	3 967	28 771	2 686	2 932	67	410	38
2021	76 122	3 840	32 413	2 349	4 344	53	447	34
2022	89 192	4 278	33 637	2 615	4 419	55	1 095	36
2023	109 470	4 418	41 104	2 878	6 193	53	856	28
2024	127 120	5 426	48 899	3 387	6 460	61	716	20
2025	130 127	6 584	50 111	4 087	6 231	92	814	27

сформируй sql запрос для создания этой таблицы 
