Год	 Дебиторская задолженность		из нее:	
	всего	просроченная	задолженность покупателей и заказчиков 	
			всего	просроченная
1995	362	165	289	147
1996	663	336	553	296
1997	846	458	676	397
1998	1 542	762	1 198	646
1999	2 000	815	1 463	669
2000	2 451	916	1 721	735
2001	3 211	1 007	2 045	837
2002	3 663	911	2 263	715
2003	4 139	877	2 540	624
2004	5 174	839	3 010	607
2005	6 331	856	3 484	572
2006	7 871	1 040	4 324	588
2007	11 061	887	5 807	627
2008	13 783	1 051	6 966	797
2009	15 442	1 011	7 505	756
2010	18 004	1 048	8 589	805
2011	21 797	1 167	10 121	925
2012	22 867	1 225	11 824	946
2013	26 264	1 483	13 420	1 199
2014	31 014	2 016	16 074	1 635
2015	35 736	2 276	17 259	1 731
2016	37 053	2 241	18 388	1 544
2017	40 258	2 329	19 295	1 639
2018	46 669	2 647	22 801	1 822
2019	50 507	2 661	23 437	1 897
2020	61 156	2 926	26 600	2 115
2021	73 809	3 063	32 321	2 190
2022	86 329	4 403	36 616	3 343
2023	104 770	5 265	43 586	3 843
2024	122 980	6 145	51 545	4 393
2025	123 759	7 704	51 264	5 285

сформируй sql запрос для создания этой таблицы 
